date,site,depth,ind,fertile,frond_mass,primary_length,primary_width,frond_length,stipe_mass,stipe_length,stipe_circ,tufts,epi_length,total_length
04-05-2018,Miller`s_B,deep/adult,3,Yes,1.95,15,10,177,0.95,131,22,2,1,323
04-05-2018,Miller`s_B,deep/adult,4,Yes,1.4,16,8,115,0.75,130,14,3,1,261
04-05-2018,Miller`s_B,deep/adult,5,Yes,2.3,22,11,148,1,127,22,2,1,297
04-05-2018,Miller`s_B,deep/adult,6,Yes,1.7,18,11,107,0.7,122,17,3,1,247
04-05-2018,Miller`s_B,deep/adult,7,Yes,3.25,21,25,129,1.2,144,22,3,1,294
04-05-2018,Miller`s_B,deep/adult,8,Yes,1.2,11,5,115,0.3,73,7,2,0,199
04-05-2018,Miller`s_B,deep/adult,9,Yes,1.6,19,12,146,0.95,135,16,3,1,300
04-05-2018,Miller`s_B,deep/adult,10,Yes,0.95,12,10,189,0.8,144,18,3,1,345
04-05-2018,Miller`s_B,deep/adult,11,Yes,1.85,15,9,155,0.6,110,17,4,1,280
04-05-2018,Miller`s_B,deep/adult,12,Yes,2,17,14,98,0.75,112,19,4,1,227
04-05-2018,Miller`s_C,deep/adult,1,Yes,1.4,22,12,140,0.8,118,16,3,1,280
04-05-2018,Miller`s_C,deep/adult,2,Yes,3.4,15,12,150,1.3,181,21,3,1,346
04-05-2018,Miller`s_C,deep/adult,3,Yes,2.25,14,12,154,1,117,24,2,1,285
04-05-2018,Miller`s_C,deep/adult,4,Yes,1.35,14,12,127,0.75,105,16,2,1,246
04-05-2018,Miller`s_C,deep/adult,5,Yes,3.05,10,9,150,1.2,131,16,3,1,291
04-05-2018,Miller`s_C,deep/adult,6,Yes,2,12,9,155,0.95,150,19,3,1,317
04-05-2018,Miller`s_C,deep/adult,7,Yes,1,15,8,112,0.8,141,14,4,1,268
04-05-2018,Miller`s_C,deep/adult,8,Yes,2.05,15,7,110,1,166,15,3,1,291
04-05-2018,Miller`s_C,deep/adult,9,Yes,1,14,11,83,0.65,118,13,3,1,215
04-05-2018,Miller`s_C,deep/adult,10,Yes,1.05,24,18,113,1,134,14,4,1,271
04-05-2018,Miller`s_C,deep/adult,11,Yes,1.9,18,8,130,0.9,100,14,4,1,248
04-05-2018,Miller`s_C,deep/adult,12,Yes,1.4,14,7,122,1.1,138,16,2,1,274
31-08-2018,Soetwater,deep/adult,1,Yes,2.85,21,11,134,0.5,56,18,3,1,211
31-08-2018,Soetwater,deep/adult,2,Yes,2.1,23,11,150,0.75,78,21,4,1,251
31-08-2018,Soetwater,deep/adult,3,Yes,2.4,22,6,128,0.35,76,11,3,1,226
31-08-2018,Soetwater,deep/adult,4,Yes,0.7,17,13,88,0.85,96,17,2,1,201
31-08-2018,Soetwater,deep/adult,5,Yes,1.7,16,6,142,0.4,104,11,2,1,262
31-08-2018,Soetwater,deep/adult,6,Yes,0.8,14,7,101,0.45,90,14,2,1,205
31-08-2018,Soetwater,deep/adult,7,Yes,1,18,4,125,0.45,115,10,2,1,258
31-08-2018,Soetwater,deep/adult,8,Yes,3.25,18,9,116,0.85,121,19,4,1,255
31-08-2018,Soetwater,deep/adult,9,Yes,1.25,12,7,130,0.6,104,22,2,1,246
31-08-2018,Soetwater,deep/adult,10,Yes,1.35,21,8,100,0.9,121,17,3,1,242
31-08-2018,Soetwater,deep/adult,11,Yes,2.15,11,9,140,0.8,103,22,3,1,254
31-08-2018,Soetwater,deep/adult,12,Yes,0.8,12,6,104,0.5,89,15,3,1,205
31-08-2018,Slangkop,deep/adult,1,Yes,0.95,18,7,71,0.9,104,19,3,1,193
31-08-2018,Slangkop,deep/adult,2,Yes,0.35,14,6,69,0.5,95,12,4,1,178
31-08-2018,Slangkop,deep/adult,3,Yes,0.45,21,8,74,0.3,53,15,2,1,148
31-08-2018,Slangkop,deep/adult,4,Yes,0.55,27,9,56,0.95,121,25,4,1,204
31-08-2018,Slangkop,deep/adult,5,Yes,1.85,25,10,70,1.6,142,27,5,1,237
31-08-2018,Slangkop,deep/adult,6,Yes,0.7,18,9,77,0.9,101,18,4,1,196
31-08-2018,Slangkop,deep/adult,7,Yes,0.4,16,6,49,0.35,77,16,2,1,142
31-08-2018,Slangkop,deep/adult,8,Yes,0.75,19,6,108,0.3,54,13,3,1,181
31-08-2018,Slangkop,deep/adult,9,No,0.25,24,8,47,0.6,96,14,2,1,167
31-08-2018,Slangkop,deep/adult,10,Yes,1.2,20,10,95,0.3,54,17,3,1,169
31-08-2018,Slangkop,deep/adult,11,Yes,1.1,24,6,77,0.15,33,9,4,1,134
31-08-2018,Slangkop,deep/adult,12,Yes,1.1,15,7,82,0.35,61,16,3,1,158
31-08-2018,Kommetjie,deep/adult,1,Yes,1.65,26,7,129,0.25,74,13,3,1,229
31-08-2018,Kommetjie,deep/adult,2,Yes,0.55,17,13,70,0.95,136,21,3,1,223
31-08-2018,Kommetjie,deep/adult,3,No,0.4,18,6,56,0.55,108,16,3,1,182
31-08-2018,Kommetjie,deep/adult,4,Yes,2,17,7,164,0.6,108,19,3,1,289
31-08-2018,Kommetjie,deep/adult,5,Yes,0.55,14,4,107,0.65,141,12,2,1,262
31-08-2018,Kommetjie,deep/adult,6,Yes,3.1,14,9,203,0.75,109,20,2,1,326
31-08-2018,Kommetjie,deep/adult,7,Yes,2.3,20,12,153,1.25,128,12,3,1,301
31-08-2018,Kommetjie,deep/adult,8,Yes,0.95,18,4,121,0.55,130,12,2,1,269
31-08-2018,Kommetjie,deep/adult,9,Yes,0.65,17,5,103,0.4,110,13,2,1,230
31-08-2018,Kommetjie,deep/adult,10,Yes,1.2,16,21,98,0.65,52,23,3,1,166
31-08-2018,Kommetjie,deep/adult,11,Yes,2.35,20,12,88,0.5,66,18,3,1,174
31-08-2018,Kommetjie,deep/adult,12,Yes,0.6,29,12,133,2.4,226,25,4,1,388
12-09-2018,St_James_N,shallow/juvenile ,1,No,0.25,8,3.5,84,0.1,39,6,2,0,131
12-09-2018,St_James_N,shallow/juvenile,2,No,0.35,45,3,84,0.1,42,7,2,0,171
12-09-2018,St_James_N,shallow/juvenile,3,Yes,0.6,15,5,129,0.1,31,7,4,0,175
12-09-2018,St_James_N,shallow/juvenile,4,No,1.5,11,4,125,0.1,27,7,3,0,163
12-09-2018,St_James_N,shallow/juvenile,5,No,0.35,30,3,90,0.05,28,6,3,0,148
12-09-2018,St_James_N,shallow/juvenile,6,Yes ,0.15,13,3,46,0.05,27,8,3,0,86
12-09-2018,St_James_N,shallow/juvenile,7,No,0.15,22,5,47,0.1,29,7,5,0,98
12-09-2018,St_James_N,shallow/juvenile,8,No,0.45,15,4,68,0.05,30,6,4,0,113
12-09-2018,St_James_N,shallow/juvenile,9,No,0.2,17,4,74,0.05,29,6,3,0,120
12-09-2018,St_James_N,shallow/juvenile,10,No,0.1,12,5,45,0.1,38,7,3,0,95
12-09-2018,St_James_N,shallow/juvenile,11,No,0.3,29,3,73,0.1,41,7,1,0,143
12-09-2018,St_James_N,shallow/juvenile,12,Yes ,0.35,34,3,100,0.05,29,6,2,0,163
12-09-2018,St_James_N,shallow/adult,1,No,0.9,13,7,89,0.55,110,14,3,1,212
12-09-2018,St_James_N,shallow/adult,2,No,0.9,18,9,105,0.85,102,21,4,1,225
12-09-2018,St_James_N,shallow/adult,3,Yes,0.8,14,10,116,1,91,20,2,1,221
12-09-2018,St_James_N,shallow/adult,4,No,0.65,12,7,110,0.5,93,15,3,1,215
12-09-2018,St_James_N,shallow/adult,5,No,1.6,11,8,144,0.9,119,16,3,1,274
12-09-2018,St_James_N,shallow/adult,6,Yes,1.1,13,7,109,0.4,55,17,2,1,177
12-09-2018,St_James_N,shallow/adult,7,Yes,0.7,18,8,114,0.6,88,15,4,1,220
12-09-2018,St_James_N,shallow/adult,8,Yes ,1.15,21,9,128,0.65,75,22,4,1,224
12-09-2018,St_James_N,shallow/adult,9,No,0.6,12,6,74,0.3,64,12,4,1,150
12-09-2018,St_James_N,shallow/adult,10,No,1.45,15,9,97,0.45,61,16,4,1,173
12-09-2018,St_James_N,shallow/adult,11,No,1.1,15,8,92,0.8,126,18,3,1,233
12-09-2018,St_James_N,shallow/adult,12,Yes,0.35,14,9,69,0.6,134,15,2,1,217
12-09-2018,St_James_N,shallow/adult,13,No,1.15,12,7,83,0.65,105,15,4,1,200
12-09-2018,St_James_N,deep/adult,1,Yes,0.9,15,9,133,0.45,73,16,3,1,221
12-09-2018,St_James_N,deep/adult,2,No,0.45,11,5,84,0.45,101,13,3,1,196
12-09-2018,St_James_N,deep/adult,3,No,0.3,12,5,83,0.45,90,12,3,1,185
12-09-2018,St_James_N,deep/adult,4,Yes,1.15,13,11,131,1,99,24,2,1,243
12-09-2018,St_James_N,deep/adult,5,Yes,1.15,16,7,120,0.3,42,13,3,1,178
12-09-2018,St_James_N,deep/adult,6,No,0.9,11,6,80,0.45,74,14,2,1,165
12-09-2018,St_James_N,deep/adult,7,Yes,1.65,12,7,100,0.6,110,13,3,1,222
12-09-2018,St_James_N,deep/adult,8,No,0.65,10,5,76,0.25,58,11,3,1,144
12-09-2018,St_James_N,deep/adult,9,Yes,0.6,13,7,90,0.35,47,15,3,1,150
12-09-2018,St_James_N,deep/adult,10,No,1.2,7,7,127,1,103,17,2,1,237
12-09-2018,St_James_N,deep/adult,11,Yes,0.5,19,12,76,0.6,68,17,3,1,163
12-09-2018,St_James_N,deep/adult,12,No,0.95,12,8,94,0.7,88,17,4,1,194
12-09-2018,St_James_S,shallow/juvenile,1,No,0.05,18,3,34,0.1,36,7,3,1,88
12-09-2018,St_James_S,shallow/juvenile,2,Yes,0.3,51,8,76,0.05,33,6,3,1,160
12-09-2018,St_James_S,shallow/juvenile,3,No,0.1,35,4,34,0.05,32,6,3,1,101
12-09-2018,St_James_S,shallow/juvenile,4,No,0.3,55,7,90,0.1,34,7,3,1,179
12-09-2018,St_James_S,shallow/juvenile,5,Yes,0.15,42,4,58,0.1,47,6,3,1,147
12-09-2018,St_James_S,shallow/juvenile,6,No,0.25,12,4,73,0.1,34,6,3,1,119
12-09-2018,St_James_S,shallow/juvenile,7,No,0.15,38,7,59,0.05,37,6,2,1,134
12-09-2018,St_James_S,shallow/juvenile,8,No,0.1,59,4,50,0.05,32,6,3,1,141
12-09-2018,St_James_S,shallow/juvenile,9,Yes,0.15,9,5,49,0.05,26,6,3,1,84
12-09-2018,St_James_S,shallow/juvenile,10,Yes,0.25,12,4,79,0.1,33,8,3,1,124
12-09-2018,St_James_S,shallow/juvenile,11,No,0.35,51,7,80,0.05,27,6,2,1,158
12-09-2018,St_James_S,shallow/juvenile,12,Yes,0.15,25,4,34,0.05,22,7,2,1,81
12-09-2018,St_James_S,shallow/adult,1,Yes,1,15,7,88,0.8,132,14,4,1,235
12-09-2018,St_James_S,shallow/adult,2,Yes,0.75,11,6,99,0.7,93,15,3,1,203
12-09-2018,St_James_S,shallow/adult,3,Yes,0.15,9,6,55,0.55,110,13,1,1,174
12-09-2018,St_James_S,shallow/adult,4,Yes,0.2,15,9,32,1.05,150,19,2,1,197
12-09-2018,St_James_S,shallow/adult,5,Yes,0.65,14,6,117,0.85,158,13,4,1,289
12-09-2018,St_James_S,shallow/adult,6,No,1,12,9,85,1.1,162,15,3,1,259
12-09-2018,St_James_S,shallow/adult,7,Yes,1.55,13,9,76,0.85,125,16,3,1,214
12-09-2018,St_James_S,shallow/adult,8,No,0.2,10,7,51,0.55,82,14,2,1,143
12-09-2018,St_James_S,shallow/adult,9,Yes,0.1,15,8,28,0.8,140,16,2,1,183
12-09-2018,St_James_S,shallow/adult,10,Yes,0.3,14,8,64,0.8,145,19,3,1,223
12-09-2018,St_James_S,shallow/adult,11,Yes,1.45,16,14,101,1.2,138,19,3,1,255
12-09-2018,St_James_S,shallow/adult,12,Yes,0.55,14,7,72,0.65,102,15,4,1,188
12-09-2018,St_James_S,deep/adult,1,No,1.3,12,8,132,0.8,115,20,3,1,259
12-09-2018,St_James_S,deep/adult,2,Yes ,0.55,14,5,92,0.7,159,10,4,1,265
12-09-2018,St_James_S,deep/adult,3,No,1.1,14,6,11,1.15,193,17,3,1,218
12-09-2018,St_James_S,deep/adult,4,No,1.3,13,8,96,0.95,124,18,4,1,233
12-09-2018,St_James_S,deep/adult,5,No,1.25,13,10,98,0.9,140,19,4,1,251
12-09-2018,St_James_S,deep/adult,6,No,1.45,22,18,130,1.15,166,24,3,1,318
12-09-2018,St_James_S,deep/adult,7,Yes,1.65,15,10,147,1.15,124,22,3,1,286
12-09-2018,St_James_S,deep/adult,8,No,0.55,9,4,108,0.5,102,12,3,1,219
12-09-2018,St_James_S,deep/adult,9,Yes,0.75,14,7,100,1.3,197,16,4,1,311
12-09-2018,St_James_S,deep/adult,10,Yes,1.35,12,7,115,1.25,209,16,3,1,336
12-09-2018,St_James_S,deep/adult,11,No,0.95,11,6,132,1.1,174,14,4,1,317
12-09-2018,St_James_S,deep/adult,12,No,0.9,10,5,117,0.85,123,14,3,1,250
12-09-2018,Kalk_Bay,shallow/juvenile,1,No,0.25,19,2,69,0.05,29,6,1,0,117
12-09-2018,Kalk_Bay,shallow/juvenile,2,No,1.25,12,5,76,0.1,26,8,4,0,114
12-09-2018,Kalk_Bay,shallow/juvenile,3,No,0.15,13,4,66,0.05,20,6,2,0,99
12-09-2018,Kalk_Bay,shallow/juvenile,4,No,0.35,13,6,65,0.1,29,7,2,0,107
12-09-2018,Kalk_Bay,shallow/juvenile,5,No,0.3,17,5,58,0.1,27,9,5,0,102
12-09-2018,Kalk_Bay,shallow/juvenile,6,No,0.65,14,7,77,0.1,27,8,3,0,118
12-09-2018,Kalk_Bay,shallow/juvenile,7,No,0.65,12,2,84,0.05,21,7,5,0,117
12-09-2018,Kalk_Bay,shallow/juvenile,8,Yes,0.15,12,4,75,0.05,26,6,3,0,113
12-09-2018,Kalk_Bay,shallow/juvenile,9,No,0.45,14,4,87,0.05,19,7,5,0,120
12-09-2018,Kalk_Bay,shallow/juvenile,10,No,0.05,11,2.5,39,0.05,31,7,2,0,81
12-09-2018,Kalk_Bay,shallow/juvenile,11,No,0.2,48,2,46,0.05,23,6,0,0,117
12-09-2018,Kalk_Bay,shallow/juvenile,12,No,0.9,11,5,100,0.1,22,7,3,0,133
12-09-2018,Kalk_Bay,shallow/adult,1,Yes,0.75,38,12,134,0.95,169,17,4,1,341
12-09-2018,Kalk_Bay,shallow/adult,2,No,1.15,14,10,87,0.9,137,20,3,1,238
12-09-2018,Kalk_Bay,shallow/adult,3,No,1.15,14,6,80,1,191,17,2,1,285
12-09-2018,Kalk_Bay,shallow/adult,4,No,1.55,13,12,88,1,129,20,3,1,230
12-09-2018,Kalk_Bay,shallow/adult,5,Yes,1,20,9,94,1,155,18,3,1,269
